To be done
Name, Date, Description, Observed, IsHoliday, IsWorkday
元旦, 2019-01-01, , , 1, 0
春节假期调休, 2019-02-02, , , 0, 1
春节假期调休, 2019-02-03, , , 0, 1
春节假期, 2019-02-04, , , 1, 0
春节假期, 2019-02-05, , , 1, 0
春节假期, 2019-02-06, , , 1, 0
春节假期, 2019-02-07, , , 1, 0
春节假期, 2019-02-08, , , 1, 0
春节假期, 2019-02-09, , , 1, 0
春节假期, 2019-02-10, , , 1, 0
清明节, 2019-04-05, , , 1, 0
清明假期, 2019-04-06, , , 1, 0
清明假期, 2019-04-07, , , 1, 0
劳动节, 2019-05-01, , , 1, 0
端午节, 2019-06-07, , , 1, 0
端午假期, 2019-06-08, , , 1, 0
端午假期, 2019-06-09, , , 1, 0
中秋节, 2019-09-13, , , 1, 0
中秋假期, 2019-09-14, , , 1, 0
中秋假期, 2019-09-15, , , 1, 0
国庆假期调休, 2019-09-29, , , 0, 1
国庆节, 2019-10-01, , , 1, 0
国庆假期, 2019-10-02, , , 1, 0
国庆假期, 2019-10-03, , , 1, 0
国庆假期, 2019-10-04, , , 1, 0
国庆假期, 2019-10-05, , , 1, 0
国庆假期, 2019-10-06, , , 1, 0
国庆假期, 2019-10-07, , , 1, 0
国庆假期调休, 2019-10-12, , , 0, 1
# http://www.gov.cn/zhengce/content/2018-12/06/content_5346276.htm
